SMILES,label_0,label_1,label_2,label_3,label_4
CCCCCCCCCCCC(=O)OCC,0.0,0.58,0.0,0.45,2.1556
CCCCC(=O)CC,0.11,0.66,0.0,0.51,1.1106
CCCOC(=O)CC,0.07,0.56,0.0,0.45,1.0284
Cc1ccc(cc1)Br,0.88,0.74,0.0,0.09,1.0323
Clc1ccc(cc1)Br,1.0,0.83,0.0,0.0,1.0138
Cc1ccc(cc1)C,0.61,0.52,0.0,0.16,0.9982
Cc1ccc(cc1)Cl,0.71,0.74,0.0,0.05,0.9797
Cc1ccc(cc1)O,0.82,0.87,0.57,0.32,0.916
Cc1ccc(cc1)S,1.02,0.71,0.09,0.16,1.0208
Clc1ccc(cc1)Cl,0.83,0.75,0.0,0.02,0.9612
Nc1ccc(cc1)Cl,1.06,1.13,0.3,0.31,0.9386
Oc1ccc(cc1)Cl,0.92,1.08,0.67,0.21,0.8975
Cc1ccc(cc1)N,0.92,0.95,0.23,0.45,0.9571
O=C1C=CC(=O)C=C1,0.75,0.55,0.0,0.81,0.7908
CC1NCC(NC1)C,0.53,0.84,0.3,1.14,1.045
CN1CCN(CC1)C,0.35,0.69,0.0,1.16,1.045
C=CC(=O)OCC(C)C,0.16,0.59,0.0,0.42,1.1263
COC(=O)CCC(=O)OC,0.19,1.05,0.0,0.85,1.1028
CCC(CC(C)C)CO,0.2,0.36,0.37,0.48,1.2945
CCCCCC(=O)CC,0.12,0.66,0.0,0.51,1.2515
CCCCCC(=O)OC,0.08,0.6,0.0,0.45,1.1693
CCC(CC)(CC)C,0.0,0.0,0.0,0.0,1.2358
CCC(CC)(CC)CC,0.0,0.23,0.0,0.0,1.3767
CCCCCCC(=O)OC,0.08,0.6,0.0,0.45,1.3102
COC(=O)CCCCCCCCC(=O)OC,0.13,1.27,0.0,0.99,1.9482
CCCC(CCC)(C)C,0.0,0.0,0.0,0.0,1.3767
CCC1CO1,0.22,0.56,0.03,0.35,0.6223
CCC(C(C)C)C(C)C,0.0,0.0,0.0,0.0,1.3767
ClCC1CO1,0.4,1.11,0.0,0.27,0.6038
CC(=C)C(=O)OCC1CO1,0.36,1.2,0.0,0.7,1.0764
C=CCOCC1CO1,0.31,0.67,0.0,0.76,0.9198
BrCCBr,0.75,0.76,0.1,0.17,0.7404
Nc1ncnc2c1ncn2CCOCP(=O)(O)O,2.34,2.42,1.8,2.25,1.785
CCCBr,0.37,0.4,0.0,0.12,0.7063
CC(CC(C(C)C)C)C,0.0,0.0,0.0,0.0,1.3767
BrCC=C,0.5,0.55,0.0,0.11,0.6633
CCCC,0.0,0.0,0.0,0.0,0.6722
CCC=C,0.1,0.08,0.0,0.07,0.6292
C=CC=C,0.32,0.23,0.0,0.1,0.5862
CCCCCCCCCCN(CCCCCCCCCC)CCCCCCCCCC,-0.02,0.15,0.0,0.83,4.4354
CCC#C,0.18,0.23,0.13,0.15,0.5862
C=CC=O,0.32,0.61,0.0,0.46,0.504
CCOC(=O)CCC(=O)O,0.23,1.07,0.57,0.82,1.1028
CCCS,0.39,0.35,0.0,0.24,0.6948
ClCCBr,0.57,0.7,0.1,0.09,0.6878
ClCC=C,0.33,0.56,0.0,0.05,0.6107
ClCCCl,0.42,0.64,0.1,0.11,0.6352
OCCCl,0.42,0.77,0.39,0.5,0.5715
CCCI,0.63,0.4,0.0,0.15,0.7895
OC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,2.02,3.58,1.06,2.61,3.874
CC(CC(C)(C)C)(C)C,0.0,0.0,0.0,0.0,1.3767
CCCN,0.23,0.35,0.16,0.61,0.6311
NCC=C,0.35,0.49,0.16,0.58,0.5881
CCC#N,0.16,0.9,0.02,0.36,0.5451
CCCCCC(C)(C)C,0.0,0.0,0.0,0.0,1.3767
C=CC#N,0.3,0.83,0.03,0.3,0.5021
CC([Hg]C(C)C)C,0.76,0.6,0.0,0.0,1.2284
ClCC#N,0.37,0.89,0.38,0.26,0.5266
NCCN,0.46,0.65,0.3,1.1,0.59
OCC#N,0.37,1.26,0.4,0.55,0.4629
OCC=C,0.34,0.44,0.44,0.47,0.547
OCC#C,0.41,0.57,0.38,0.59,0.504
CC(CCCC(C)C)C,0.0,0.0,0.0,0.0,1.3767
OCCO,0.4,0.9,0.58,0.78,0.5078
CC(CCCCC(C)C)C,0.0,0.0,0.0,0.0,1.5176
O=CC=O,0.31,0.79,0.0,0.46,0.4218
CCCCCCCCCCCCCOC(=O)C,0.04,0.6,0.0,0.45,2.2965
CC1CS1,0.52,0.44,0.0,0.1,0.5862
CC1COCO1,0.24,0.59,0.0,0.62,0.681
CC[Hg]Br,1.18,1.39,0.12,0.2,0.8398
CC[Hg]Cl,1.03,1.5,0.13,0.28,0.7872
CC(=O)c1ccc[nH]1,0.75,1.0,0.4,0.55,0.8749
C/C=N/O,0.39,0.5,0.35,0.54,0.5059
COCCl,0.17,0.52,0.0,0.36,0.5715
COC=O,0.19,0.68,0.0,0.38,0.4648
CC(=C)CC(C)(C)C,0.09,0.07,0.0,0.07,1.1928
CC(=CC(C)(C)C)C,0.14,0.08,0.0,0.07,1.1928
CC(CC(O)(C)C)O,0.24,0.8,0.62,0.94,1.0714
CCCc1ccccc1C,0.66,0.54,0.0,0.18,1.28
OC(=O)c1ccc(cc1)S,1.22,1.08,0.74,0.42,1.0952
CCCc1cccc(c1)C,0.62,0.5,0.0,0.18,1.28
CCCc1ccc(cc1)C,0.62,0.5,0.0,0.18,1.28
CCCCCC(N)(C)C,0.15,0.33,0.16,0.61,1.3356
C[Si](O[Si](C)(C)C)(C)C,-0.27,-0.19,0.0,0.3,1.5041
CC(SC(C)(C)C)(C)C,0.33,0.25,0.0,0.58,1.3993
Cc1ccccc1C(C)(C)C,0.67,0.57,0.0,0.22,1.4209
C[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C,-0.5,-0.07,0.0,0.37,2.0903
Clc1ccc(cc1)CCC(C(C)(C)C)(Cn1cncn1)O,1.54,1.45,0.24,1.44,2.4113
Cc1cccc(c1)C(C)(C)C,0.63,0.5,0.0,0.19,1.4209
COc1cc(C)ccc1C(C)C,0.68,0.72,0.0,0.38,1.4796
